questionId,stage,kind,english,optionA,optionB,optionC,optionD,correctOption,explanation,sourceId,sourceTitle,sourcePage,active,rewardDose,rewardCoins
S1-CRYSTAL-001,1,term,elemental semiconductor,원소 반도체,화합물 반도체,비정질 반도체,축퇴 반도체,A,"한 종류의 원소로 구성된 반도체로, Si와 Ge가 예입니다.",SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,5,True,1000000000000.0,10
S1-CRYSTAL-002,1,term,compound semiconductor,화합물 반도체,원소 반도체,진성 반도체,다결정 반도체,A,서로 다른 원소가 결합한 반도체를 뜻합니다.,SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,5,True,1000000000000.0,10
S1-CRYSTAL-003,1,term,doping,도핑(불순물의 제어된 첨가),증착(표면에 막을 형성),식각(재료의 선택적 제거),연마(표면을 매끄럽게 가공),A,전기적 특성을 조절하기 위해 불순물을 제어된 양으로 넣는 과정입니다.,SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,11,True,1000000000000.0,10
S1-CRYSTAL-004,1,term,unit cell,단위 격자,결정립계,불순물 준위,공핍층,A,결정의 반복 구조를 나타내는 기본 단위입니다.,SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,13,True,1000000000000.0,10
S1-CRYSTAL-005,1,term,lattice constant,격자 상수,유전 상수,확산 계수,이동도,A,입방 단위 격자의 변 길이 a를 격자 상수라고 합니다.,SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,16,True,1000000000000.0,10
S1-CRYSTAL-006,1,term,Miller indices,밀러 지수,굴절률,도핑 농도,배위수,A,"결정면을 나타내는 지수 h, k, l을 뜻합니다.",SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,17,True,1000000000000.0,10
S1-CRYSTAL-007,1,term,seed crystal,종자 결정,다결정 덩어리,비정질 박막,불순물 원자,A,단결정 성장의 시작점과 결정 배열의 틀을 제공하는 결정입니다.,SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,27,True,1000000000000.0,10
S1-CRYSTAL-008,1,term,epitaxial growth,에피택셜 성장,분별 증류,용융 식각,기계적 연마,A,기판의 결정 구조와 방향을 따라 단결정층을 성장시키는 기법입니다.,SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,31,True,1000000000000.0,10
S1-CRYSTAL-009,1,term,fractional distillation,분별 증류,이온 주입,진공 증착,열 산화,A,끓는점 차이를 이용해 혼합물의 성분을 분리하는 기법입니다.,SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,26,True,1000000000000.0,10
S1-CRYSTAL-010,1,sentence,Charge transport depends on both electron properties and atomic arrangement.,전하 수송은 전자의 특성과 원자 배열 모두에 의존한다.,전하 수송은 전자의 특성에만 의존하고 원자 배열과 무관하다.,전하 수송은 원자 배열에만 의존하고 전자의 특성과 무관하다.,전하 수송은 전자의 특성과 원자 배열 모두에 무관하다.,A,both A and B는 A와 B 모두를 뜻합니다.,SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,3,True,1000000000000.0,10
S1-CRYSTAL-011,1,sentence,Semiconductors have conductivities between those of metals and insulators.,반도체의 전도도는 금속과 절연체의 전도도 사이에 있다.,반도체의 전도도는 금속과 절연체의 전도도보다 모두 크다.,반도체의 전도도는 금속과 절연체의 전도도보다 모두 작다.,반도체의 전도도는 금속의 전도도와 항상 정확히 같다.,A,between은 두 값 사이의 범위를 나타냅니다. conductivity는 전도도입니다.,SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,4,True,1000000000000.0,10
S1-CRYSTAL-012,1,sentence,"Temperature, light, and impurities can change semiconductor conductivity.","온도, 빛, 불순물은 반도체의 전도도를 바꿀 수 있다.","온도, 빛, 불순물은 반도체의 전도도를 항상 일정하게 한다.","온도, 빛, 불순물은 반도체의 원자번호를 바꿀 수 있다.","온도, 빛, 불순물은 반도체의 전도도에 영향을 주지 않는다.",A,"can change는 바꿀 수 있다는 뜻이며, 세 가지 요인 모두 전기적 특성에 영향을 줍니다.",SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,4,True,1000000000000.0,10
S1-CRYSTAL-013,1,sentence,Compound semiconductors are used in devices that emit or absorb light.,화합물 반도체는 빛을 방출하거나 흡수하는 소자에 사용된다.,화합물 반도체는 빛을 방출하지도 흡수하지도 않는 소자에만 사용된다.,원소 반도체는 빛을 방출하거나 흡수하는 소자에만 사용된다.,화합물 반도체는 빛을 방출하는 소자에는 사용될 수 없다.,A,"emit은 방출하다, absorb는 흡수하다입니다. or는 두 기능 중 하나를 나타냅니다.",SE01-CRYSTAL-2026,[SE] 01. Crystal Properties and Growth of Semiconductor,6,True,1000000000000.0,10
